Year,1,2,3,4,5,6,7,8,9,10,11,12
2004,0.34,0.51,-0.37,0.04,-0.55,-0.41,-0.74,-0.36,0.07,0.42,0.85,0.7
2005,0.45,-0.39,-0.53,0.01,0.02,-0.4,-0.18,-0.27,-0.53,-0.83,-0.77,-0.43
2006,0.13,0.52,0.18,-0.74,-0.08,0.02,0.2,0.86,1.08,1.18,0.89,0.93
2007,0.93,0.5,0.07,-0.52,-0.98,-1.14,-0.61,-0.71,-0.55,-1.2,-1.39,-1.13
2008,-0.1,0.57,0.62,0.27,0.2,0.26,0.96,0.95,0.8,0.34,0.08,0.14
2009,0.3,-0.04,-0.15,0.65,0.63,0.96,1.13,0.83,0.54,0.32,0.34,0.39
2010,0.34,0.47,0.45,0.62,0.53,0.22,-0.63,-1.09,-1.03,-0.97,-1.05,-0.52
2011,0.25,0.41,-0.32,0.03,0.26,0.53,0.23,-0.22,-0.53,-0.47,-0.53,-0.72
2012,-0.28,0.44,0.41,0.79,1.19,1.43,0.66,0.62,0.68,0.08,-0.27,-0.36
2013,0.06,0.06,-0.18,-0.79,-0.81,-1.31,-1.22,-0.6,-0.35,-0.29,0.0,0.07
2014,0.3,-0.14,0.01,0.14,0.9,1.36,1.27,1.12,0.84,0.77,0.81,0.6
2015,0.27,-0.04,0.44,0.87,1.42,2.17,2.45,1.92,2.33,2.19,2.29,2.1
