Year,1,2,3,4,5,6,7,8,9,10,11,12
1979,78.53,-58.68,-25.36,46.27,51.15,-24.26,-55.74,37.87,9.99,142.13,-20.88,49.04
1980,-97.67,-163.38,-49.76,-19.83,-165.65,7.64,-10.84,58.47,-13.41,62.23,109.02,-71.36
1981,-14.37,-79.48,-24.46,-54.73,2.85,57.14,14.66,170.67,124.49,-43.47,166.32,-77.56
1982,58.43,-73.48,124.04,-53.63,28.45,-70.26,-0.84,-41.63,18.69,-65.47,-47.98,148.34
1983,-247.07,-168.18,106.94,-117.83,-60.15,-6.76,65.46,81.47,25.99,84.73,-101.28,152.34
1984,-11.67,65.32,-87.86,23.07,40.25,-11.96,24.36,9.67,62.29,12.13,-70.38,-71.66
1985,-9.97,42.42,-30.36,-164.93,114.75,44.74,34.76,9.97,-7.31,50.63,-33.88,171.64
1986,-12.57,19.22,-6.86,-30.73,-28.05,-3.36,115.26,-51.53,-2.11,103.53,151.02,27.14
1987,11.83,13.42,-33.66,-19.03,-63.85,-77.96,-47.94,23.67,-8.61,-64.77,-42.48,-24.56
1988,-9.97,270.32,-45.66,-55.53,66.05,122.94,13.66,-17.53,37.39,0.43,56.12,192.34
1989,12.33,141.32,-59.06,60.57,323.45,78.34,88.86,-37.33,63.19,74.53,155.62,0.34
1990,-45.37,-85.68,-12.06,-73.83,12.95,-16.86,45.46,19.17,-50.41,-55.07,-53.88,-52.46
1991,-1.17,-51.88,-2.06,32.67,90.55,31.74,105.26,2.27,-34.21,-31.67,-132.88,-81.86
1992,-43.17,-12.98,36.54,-91.63,-112.85,-45.16,21.66,47.17,16.79,-23.67,-99.58,45.84
1993,156.83,341.72,-81.96,60.07,-134.85,-44.66,-34.04,-5.43,-51.31,-11.27,85.52,31.54
1994,91.43,123.82,-51.76,-51.53,-57.45,19.04,-35.64,43.57,-10.61,-19.27,36.52,2.74
1995,6.33,-143.68,-9.86,170.27,-14.15,0.84,8.26,-18.93,-0.81,-30.07,141.22,-59.26
1996,291.63,-18.08,26.84,118.27,-104.15,78.94,-51.74,11.87,40.79,74.93,-7.78,-77.56
1997,-59.07,68.82,223.64,0.57,20.55,-96.66,-68.64,58.37,-32.71,-50.17,11.52,41.74
1998,22.93,-103.98,-100.46,96.97,41.75,61.04,23.36,-11.33,42.39,-37.57,-17.18,-28.76
1999,131.93,-14.88,-78.06,110.97,213.75,43.14,-43.34,-12.53,25.59,21.23,32.72,-21.46
2000,70.53,68.72,29.44,225.17,-59.05,-57.96,-27.84,86.87,144.89,-63.87,-1.08,-27.46
2001,68.73,-56.18,-94.46,-122.03,-0.05,57.94,-38.04,-38.23,14.99,-82.97,-115.78,-6.76
2002,101.13,-35.78,-115.96,66.47,31.25,52.94,-65.24,-17.73,-13.11,105.03,-89.58,91.44
2003,-173.87,65.22,-102.06,79.87,-12.05,4.54,24.36,65.17,-12.31,-14.17,-51.18,-129.86
2004,-100.07,-125.08,112.94,-83.03,191.25,14.04,-9.04,88.17,38.79,-45.07,-157.48,-79.76
2005,-113.97,55.82,22.74,94.57,-6.15,-52.66,-16.24,-36.93,-27.31,-35.87,40.82,72.04
2006,-106.37,70.72,-45.96,-58.13,150.45,-19.16,2.96,-36.43,-40.41,-45.07,123.22,97.64
2007,134.73,-137.98,24.74,32.87,-66.35,-5.96,53.46,80.17,-1.51,-82.57,55.42,106.14
