,Arquitetura,FA,Alpha,TA,FV,MSE,NMSE
651,"(4, 5)",tanh,0.01,0.003,0.1,0.48606,0.0011524664836067653
652,"(7, 3)",tanh,0.01,0.001,0.1,0.48667,0.0011539128164771931
653,"(5, 6)",logistic,0.0001,0.001,0.0462,0.48714,0.0011550272040986703
654,"(1, 2)",tanh,0.01,0.003,0.0462,0.48819,0.0011575167934658
655,"(4, 2)",tanh,0.01,0.003,0.1,0.48875,0.0011588445744616027
656,"(3,)",tanh,0.0001,0.003,0.0462,0.4889,0.0011592002300854782
657,"(4, 7)",tanh,0.01,0.001,0.0462,0.48932,0.00116019606583233
658,"(5,)",logistic,0.0001,0.001,0.0462,0.48953,0.0011606939837057561
659,"(4, 4)",logistic,0.0001,0.001,0.1,0.49003,0.0011618795024520084
660,"(4, 7)",tanh,0.0001,0.003,0.0462,0.49027,0.0011624485514502095
661,"(4, 4)",logistic,0.01,0.003,0.1,0.49032,0.0011625671033248346
662,"(1, 7)",tanh,0.0001,0.003,0.1,0.49046,0.0011628990485737854
663,"(3, 6)",logistic,0.0001,0.001,0.1,0.49088,0.0011638948843206373
664,"(4, 5)",tanh,0.01,0.001,0.1,0.49281,0.001168470986681171
665,"(5, 7)",tanh,0.01,0.003,0.1,0.49336,0.0011697750573020486
666,"(6, 4)",tanh,0.0001,0.001,0.0462,0.49387,0.0011709842864232258
667,"(2, 5)",logistic,0.01,0.003,0.1,0.4946,0.0011727151437927541
668,"(3, 3)",tanh,0.0001,0.003,0.0462,0.49542,0.001174659394536608
669,"(6, 1)",tanh,0.0001,0.003,0.0462,0.49562,0.001175133602035109
670,"(6,)",logistic,0.01,0.001,0.0462,0.49771,0.0011800890703944434
671,"(7, 1)",tanh,0.01,0.001,0.1,0.49848,0.001181914769263672
672,"(2, 7)",tanh,0.0001,0.001,0.1,0.49888,0.0011828631842606737
673,"(2, 1)",tanh,0.0001,0.003,0.1,0.50057,0.0011868702376230064
674,"(1, 2)",tanh,0.0001,0.001,0.1,0.50066,0.0011870836309973319
675,"(7, 1)",tanh,0.0001,0.003,0.0462,0.50096,0.0011877949422450832
676,"(6, 4)",logistic,0.0001,0.001,0.1,0.50148,0.0011890278817411858
677,"(7, 2)",tanh,0.0001,0.001,0.0462,0.50177,0.001189715482614012
678,"(7, 3)",logistic,0.0001,0.001,0.1,0.50239,0.0011911855258593647
679,"(2, 7)",tanh,0.0001,0.001,0.0462,0.50335,0.001193461721852169
680,"(1, 6)",logistic,0.01,0.003,0.0462,0.50424,0.0011955719452204983
681,"(7, 7)",tanh,0.01,0.001,0.1,0.50704,0.001202210850199511
682,"(5,)",tanh,0.0001,0.003,0.0462,0.50767,0.0012037046038197888
683,"(2,)",tanh,0.0001,0.003,0.0462,0.50846,0.0012055777234388674
684,"(2, 7)",logistic,0.0001,0.003,0.0462,0.50872,0.0012061941931869186
685,"(7,)",tanh,0.0001,0.001,0.1,0.50961,0.0012083044165552476
686,"(1,)",logistic,0.01,0.003,0.1,0.51078,0.001211078530421478
687,"(1, 4)",logistic,0.01,0.001,0.0462,0.51259,0.0012153701082829112
688,"(6, 3)",tanh,0.0001,0.001,0.0462,0.51328,0.0012170061241527392
689,"(2, 3)",tanh,0.01,0.001,0.0462,0.51343,0.0012173617797766152
690,"(7, 2)",tanh,0.01,0.001,0.1,0.5143,0.001219424582395094
691,"(1, 7)",tanh,0.01,0.003,0.1,0.51646,0.001224546023378904
692,"(7, 7)",tanh,0.01,0.003,0.1,0.51707,0.0012259923562493317
693,"(5, 2)",tanh,0.0001,0.001,0.0462,0.51749,0.0012269881919961835
694,"(6, 4)",tanh,0.01,0.001,0.1,0.51772,0.0012275335306194594
695,"(4, 6)",tanh,0.0001,0.001,0.1,0.51838,0.0012290984153645124
696,"(1, 5)",tanh,0.01,0.003,0.1,0.51861,0.0012296437539877888
697,"(5, 4)",logistic,0.01,0.001,0.1,0.51875,0.0012299756992367394
698,"(3, 3)",tanh,0.0001,0.003,0.1,0.51999,0.001232915785727445
699,"(5, 7)",tanh,0.0001,0.001,0.1,0.5203,0.0012336508073501214
700,"(4, 4)",tanh,0.0001,0.001,0.0462,0.5204,0.0012338879110993716
701,"(6, 2)",tanh,0.0001,0.003,0.0462,0.52115,0.0012356661892187503
702,"(3, 2)",tanh,0.0001,0.003,0.1,0.52151,0.001236519762716052
703,"(4, 4)",tanh,0.01,0.001,0.1,0.52203,0.0012377527022121543
704,"(1, 1)",tanh,0.0001,0.001,0.0462,0.52204,0.0012377764125870792
705,"(3, 4)",tanh,0.0001,0.003,0.0462,0.52275,0.0012394598492067577
706,"(3, 6)",tanh,0.0001,0.001,0.0462,0.52519,0.0012452451806884688
707,"(5, 7)",logistic,0.01,0.003,0.0462,0.52611,0.0012474265351815727
708,"(2, 2)",tanh,0.0001,0.003,0.1,0.52632,0.0012479244530549988
709,"(5, 2)",tanh,0.01,0.003,0.1,0.52649,0.0012483275294287246
710,"(6,)",logistic,0.0001,0.001,0.1,0.5266,0.0012485883435529
711,"(4, 3)",logistic,0.01,0.001,0.1,0.52782,0.0012514810092937555
712,"(4, 2)",logistic,0.0001,0.001,0.0462,0.52783,0.0012515047196686806
713,"(7, 7)",tanh,0.0001,0.003,0.1,0.52794,0.001251765533792856
714,"(1, 3)",tanh,0.0001,0.001,0.0462,0.529,0.001254278833534911
715,"(1, 5)",tanh,0.0001,0.001,0.0462,0.53055,0.001257953941648293
716,"(5, 4)",tanh,0.01,0.001,0.0462,0.53156,0.0012603486895157228
717,"(6, 4)",tanh,0.0001,0.003,0.1,0.53197,0.0012613208148876496
718,"(1,)",tanh,0.01,0.003,0.1,0.53204,0.0012614867875121248
719,"(6, 1)",logistic,0.01,0.003,0.1,0.53212,0.0012616764705115253
720,"(3, 1)",tanh,0.01,0.001,0.0462,0.53258,0.0012627671477580774
721,"(3, 4)",tanh,0.01,0.001,0.1,0.53311,0.0012640237976291047
722,"(4,)",tanh,0.0001,0.001,0.0462,0.53339,0.0012646876881270061
723,"(2, 3)",logistic,0.0001,0.001,0.1,0.53381,0.001265683523873858
724,"(2, 5)",tanh,0.0001,0.003,0.1,0.534,0.001266134020997434
725,"(7, 7)",tanh,0.0001,0.001,0.1,0.53799,0.001275594460592527
726,"(4, 6)",tanh,0.0001,0.003,0.0462,0.53836,0.0012764717444647535
727,"(6, 3)",tanh,0.01,0.003,0.0462,0.53861,0.00127706450383788
728,"(7, 3)",tanh,0.0001,0.001,0.0462,0.53921,0.0012784871263333824
729,"(4, 2)",logistic,0.01,0.001,0.1,0.53998,0.0012803128252026111
730,"(3,)",logistic,0.0001,0.003,0.1,0.54015,0.0012807159015763368
731,"(3, 2)",tanh,0.0001,0.003,0.0462,0.54018,0.001280787032701112
732,"(5, 5)",logistic,0.0001,0.001,0.1,0.54101,0.0012827549938198906
733,"(7,)",logistic,0.0001,0.003,0.0462,0.54231,0.0012858373425601467
734,"(5, 3)",tanh,0.01,0.001,0.1,0.54322,0.0012879949866783258
735,"(5, 7)",tanh,0.0001,0.003,0.0462,0.5456,0.0012936380559104867
736,"(1, 5)",logistic,0.0001,0.001,0.1,0.54675,0.0012963647490268667
737,"(3, 5)",logistic,0.0001,0.003,0.1,0.54717,0.0012973605847737188
738,"(3, 2)",logistic,0.0001,0.001,0.1,0.54815,0.0012996842015163734
739,"(3, 6)",logistic,0.01,0.001,0.0462,0.54882,0.0013012727966363513
740,"(4, 3)",tanh,0.0001,0.001,0.0462,0.55197,0.0013087415647377405
741,"(4, 6)",logistic,0.0001,0.001,0.1,0.55266,0.001310377580607569
742,"(6,)",logistic,0.01,0.003,0.1,0.55617,0.00131869992220626
743,"(1, 4)",logistic,0.0001,0.003,0.1,0.56072,0.0013294881427971556
744,"(5, 5)",tanh,0.01,0.003,0.1,0.56615,0.0013423628763814554
745,"(7,)",logistic,0.0001,0.001,0.1,0.56746,0.0013454689354966362
746,"(4, 4)",tanh,0.0001,0.001,0.1,0.56906,0.0013492625954846435
747,"(7, 5)",tanh,0.0001,0.001,0.1,0.56981,0.0013510408736040222
748,"(4,)",tanh,0.01,0.003,0.1,0.57114,0.001354194353469053
749,"(7,)",logistic,0.0001,0.001,0.0462,0.57276,0.0013580354342069105
750,"(5, 1)",tanh,0.0001,0.001,0.1,0.57497,0.0013632754270653455
751,"(3, 2)",tanh,0.01,0.003,0.1,0.57835,0.001371289533790011
752,"(2, 3)",logistic,0.0001,0.001,0.0462,0.58034,0.0013760078984000948
753,"(7, 5)",tanh,0.01,0.001,0.1,0.58164,0.001379090247140351
754,"(2, 6)",logistic,0.0001,0.001,0.1,0.5858,0.0013889537631091699
755,"(4, 1)",tanh,0.01,0.003,0.1,0.58604,0.001389522812107371
756,"(6, 7)",tanh,0.0001,0.003,0.0462,0.58818,0.0013945968323413307
757,"(1, 6)",tanh,0.0001,0.003,0.0462,0.59126,0.0014018996278182447
758,"(1, 3)",tanh,0.01,0.001,0.0462,0.59317,0.0014064283094289284
759,"(3, 6)",tanh,0.01,0.003,0.0462,0.59328,0.001406689123553104
760,"(1, 7)",tanh,0.01,0.001,0.0462,0.59968,0.001421863763505133
761,"(4, 5)",tanh,0.01,0.003,0.0462,0.59993,0.0014224565228782592
762,"(1,)",logistic,0.0001,0.003,0.0462,0.60124,0.0014255625819934402
763,"(1, 3)",tanh,0.01,0.003,0.1,0.60172,0.0014267006799898426
764,"(5, 1)",logistic,0.01,0.001,0.1,0.60282,0.0014293088212315975
765,"(6,)",logistic,0.0001,0.003,0.0462,0.60359,0.0014311345201008258
766,"(4,)",tanh,0.0001,0.003,0.1,0.60366,0.0014313004927253012
767,"(6, 4)",tanh,0.01,0.003,0.0462,0.60386,0.0014317747002238021
768,"(4, 5)",tanh,0.0001,0.003,0.0462,0.60428,0.0014327705359706542
769,"(4, 7)",tanh,0.01,0.003,0.1,0.60435,0.0014329365085951297
770,"(7, 7)",logistic,0.01,0.001,0.1,0.60693,0.0014390537853257912
771,"(1, 1)",tanh,0.0001,0.001,0.1,0.60792,0.0014414011124433707
